# Server version 0.08 running on jdery-S400CA:8123
# Game ID: 33
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Thu Mar 27 12:42:38 EDT 2014
# Player 1: Player-0, '260430688', running on localhost
# Player 2: Player-1, '260430688', running on localhost
# Player 3: Player-2, '260430688', running on localhost
# Player 4: Player-3, '260430688', running on localhost
START Player-0 260430688
START Player-1 260430688
START Player-2 260430688
START Player-3 260430688
2 (13,11) (11,13)
2 null null
3 (13,15) (15,15)
3 null null
0 (13,13) (13,15)
0 null null
1 (12,12) (13,13)
2 (11,13) (12,12)
3 (11,15) (11,13)
3 null null
0 (12,13) (12,11)
0 null null
1 (13,13) (13,11)
1 null null
2 (12,12) (13,13)
3 (14,14) (12,12)
3 null null
0 (13,15) (14,14)
1 (13,11) (11,11)
1 null null
2 (13,13) (13,15)
2 null null
3 (15,15) (13,13)
3 null null
0 (14,14) (15,15)
1 (15,14) (14,14)
2 (11,14) (12,13)
3 (13,12) (15,14)
3 null null
0 (12,11) (13,12)
1 (11,11) (12,11)
2 (13,15) (11,15)
2 null null
3 (13,13) (13,15)
3 null null
0 (15,15) (13,13)
0 null null
1 (14,14) (15,15)
2 (11,15) (11,14)
3 (12,12) (14,14)
3 null null
0 (13,12) (12,12)
1 (12,11) (13,12)
2 (12,13) (12,11)
2 null null
3 (14,11) (12,13)
3 null null
0 (12,12) (13,11)
1 (13,12) (12,12)
2 (11,14) (13,12)
2 null null
3 (12,13) (14,11)
3 null null
0 (13,11) (11,11)
0 null null
1 (12,12) (12,13)
2 (13,12) (12,12)
3 (15,14) (13,12)
3 null null
0 (15,12) (15,14)
0 null null
1 (12,13) (10,13)
1 null null
2 (12,11) (12,13)
2 null null
3 (13,12) (15,12)
3 null null
0 (11,11) (12,11)
1 (10,13) (11,14)
2 (12,12) (13,12)
3 (14,14) (12,12)
3 null null
0 (13,13) (14,14)
1 (15,15) (13,13)
1 null null
2 (13,12) (15,10)
2 null null
3 (13,15) (15,15)
3 null null
0 (14,14) (13,15)
1 (13,13) (14,14)
2 (15,10) (13,12)
2 null null
3 (15,15) (13,13)
3 null null
0 (13,15) (15,15)
0 null null
1 (14,14) (13,15)
2 (13,12) (15,10)
2 null null
3 (12,12) (14,14)
3 null null
0 (12,11) (13,12)
1 (13,15) (11,15)
1 null null
2 (12,13) (12,12)
3 (13,13) (13,15)
3 null null
0 (15,15) (13,13)
0 null null
1 (11,14) (12,13)
2 (12,12) (13,11)
3 (13,15) (15,15)
3 null null
0 (13,13) (13,15)
0 null null
1 (11,15) (13,13)
1 null null
2 (13,11) (12,12)
3 (15,11) (13,11)
3 null null
0 (13,12) (11,14)
0 null null
1 (13,13) (15,11)
1 null null
2 (15,10) (13,12)
2 null null
3 (15,15) (13,13)
3 null null
0 (13,15) (15,15)
0 null null
1 (12,13) (12,11)
1 null null
2 (13,12) (12,13)
3 (13,13) (13,15)
3 null null
0 (15,15) (13,13)
0 null null
1 (12,11) (13,12)
2 (12,13) (12,11)
2 null null
3 (13,15) (15,15)
3 null null
0 (13,13) (13,15)
0 null null
1 (15,11) (13,13)
1 null null
2 (12,11) (12,13)
2 null null
3 (14,11) (12,11)
3 null null
0 (11,14) (11,15)
1 (13,12) (11,14)
1 null null
2 (12,12) (13,12)
3 (14,14) (12,12)
3 null null
0 (15,14) (14,14)
1 (13,13) (15,11)
1 null null
2 (13,12) (15,14)
2 null null
3 (15,15) (13,13)
3 null null
0 (13,15) (15,15)
0 null null
1 (11,14) (13,12)
1 null null
2 (12,13) (14,11)
2 null null
3 (13,13) (13,15)
3 null null
0 (15,15) (13,13)
0 null null
1 (13,12) (12,13)
2 (15,14) (13,12)
2 null null
3 (13,15) (15,15)
3 null null
0 (11,15) (13,15)
0 null null
1 (12,13) (10,13)
1 null null
2 (13,12) (15,14)
2 null null
3 (14,15) (12,13)
3 null null
0 (12,15) (14,15)
0 null null
1 (10,13) (11,14)
2 (15,14) (13,12)
2 null null
3 (15,12) (15,14)
3 null null
0 (14,15) (12,15)
0 null null
1 (15,11) (15,12)
2 (13,12) (15,10)
2 null null
3 (12,13) (14,15)
3 null null
0 (0,2) (2,4)
0 null null
1 (15,12) (13,12)
1 null null
2 (14,11) (12,13)
2 null null
3 (15,14) (15,12)
3 null null
0 (14,14) (15,14)
1 (13,12) (14,11)
2 (15,10) (13,12)
2 null null
3 (12,12) (14,14)
3 null null
0 (1,3) (3,5)
GAMEOVER 
WINNER Player-1
# Game ended: Thu Mar 27 12:42:54 EDT 2014
